"id","venta_id","monto","estado","cliente_id","productos","monto_total","fecha","descripcion"
"269","1041",,"pagada","496","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":50}]","0.00","2025-12-09 15:45:08.502899","Deuda generada por venta 1041"
"270","1042",,"pagada","497","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":30,""id_producto"":31,""precio_unitario"":34}]","0.00","2025-12-09 15:47:57.532358","Deuda generada por venta 1042"
"271","1045",,"pagada","472","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":7,""id_producto"":31,""precio_unitario"":34}]","0.00","2025-12-09 16:07:08.229282","Deuda generada por venta 1045"
"272","1050",,"pagada","22","[{""nombre"":""ventilador de 12 pulgada nuevo"",""cantidad"":12,""id_producto"":22,""precio_unitario"":29}]","0.00","2025-12-09 16:55:22.412837","Deuda generada por venta 1050"
"273","1055",,"pagada","505","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":12,""id_producto"":31,""precio_unitario"":34}]","0.00","2025-12-09 17:16:16.361211","Deuda generada por venta 1055"
"274","1056",,"pagada","19","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":24,""id_producto"":31,""precio_unitario"":34}]","0.00","2025-12-09 17:17:35.95359","Deuda generada por venta 1056"
"275","1062",,"pagada","10","[{""nombre"":""ventilador de 12 pulgada nuevo"",""cantidad"":1,""id_producto"":22,""precio_unitario"":40}]","0.00","2025-12-09 18:21:29.629472","Deuda generada por venta 1062"
"276","1071",,"pagada","19","[{""nombre"":""Cocinas Bryderk"",""cantidad"":1,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-12-09 19:17:35.268005","Deuda generada por venta 1071"
"277","1072",,"pagada","12","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":36,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-09 19:25:23.685444","Deuda generada por venta 1072"
"278","1074",,"pagada","403","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":24,""id_producto"":31,""precio_unitario"":33},{""nombre"":""Ventilador JMD 18p"",""cantidad"":5,""id_producto"":3,""precio_unitario"":65}]","0.00","2025-12-09 20:12:35.465804","Deuda generada por venta 1074"
"279","1083",,"pendiente","151","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":2,""id_producto"":3,""precio_unitario"":65}]","130.00","2025-12-09 21:22:08.82463","Deuda generada por venta 1083"
"280","1084",,"pagada","2","[{""nombre"":""Split EKO 2T"",""cantidad"":6,""id_producto"":1,""precio_unitario"":530}]","0.00","2025-12-09 21:37:36.95509","Deuda generada por venta 1084"
"281","1088",,"pagada","516","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":2,""id_producto"":3,""precio_unitario"":75}]","0.00","2025-12-10 14:02:38.572329","Deuda generada por venta 1088"
"282","1091",,"pagada","39","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-10 16:04:31.562987","Deuda generada por venta 1091"
"283","1093",,"pagada","46","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":12,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-10 16:47:19.658784","Deuda generada por venta 1093"
"284","1094",,"pagada","519","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":12,""id_producto"":31,""precio_unitario"":34}]","0.00","2025-12-10 16:53:21.504538","Deuda generada por venta 1094"
"285","1096",,"pagada","520","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":38}]","0.00","2025-12-10 17:01:44.809442","Deuda generada por venta 1096"
"286","1098",,"pagada","522","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":5,""id_producto"":31,""precio_unitario"":35}]","0.00","2025-12-10 17:52:30.257345","Deuda generada por venta 1098"
"287","1100",,"pagada","46","[{""nombre"":""Refrigeradores Royal 8.5p G130-20/11/25"",""cantidad"":1,""id_producto"":28,""precio_unitario"":290}]","0.00","2025-12-10 18:24:04.447734","Deuda generada por venta 1100"
"288","1102",,"pendiente","374","[{""nombre"":""Cocinas Bryderk"",""cantidad"":9,""id_producto"":24,""precio_unitario"":20}]","180.00","2025-12-10 18:54:17.803607","Deuda generada por venta 1102"
"289","1104",,"pagada","218","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":2,""id_producto"":31,""precio_unitario"":45}]","0.00","2025-12-10 19:55:46.071463","Deuda generada por venta 1104"
"290","1105",,"pendiente","394","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1240,""id_producto"":31,""precio_unitario"":33}]","40920.00","2025-12-10 20:01:40.561283","Deuda generada por venta 1105"
"291","1108",,"pagada","8","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":12,""id_producto"":31,""precio_unitario"":34}]","0.00","2025-12-10 20:51:34.812384","Deuda generada por venta 1108"
"292","1112",,"pagada","524","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":2,""id_producto"":31,""precio_unitario"":40}]","0.00","2025-12-11 14:56:21.210426","Deuda generada por venta 1112"
"293","1114",,"pagada","525","[{""nombre"":""ventilador de 12 pulgada nuevo"",""cantidad"":1,""id_producto"":22,""precio_unitario"":35}]","0.00","2025-12-11 15:15:40.336648","Deuda generada por venta 1114"
"294","1115",,"pagada","526","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":1,""id_producto"":3,""precio_unitario"":70}]","0.00","2025-12-11 15:21:26.021514","Deuda generada por venta 1115"
"295","1116",,"pagada","39","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":2,""id_producto"":31,""precio_unitario"":38}]","0.00","2025-12-11 15:30:43.185901","Deuda generada por venta 1116"
"296","1117",,"pagada","527","[{""nombre"":""Refrigeradores Royal 8.5p G130-20/11/25"",""cantidad"":10,""id_producto"":28,""precio_unitario"":295},{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":10,""id_producto"":26,""precio_unitario"":185}]","0.00","2025-12-11 15:49:08.210423","Deuda generada por venta 1117"
"297","1121",,"pagada","6","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":2,""id_producto"":26,""precio_unitario"":180}]","0.00","2025-12-11 18:59:13.689656","Deuda generada por venta 1121"
"298","1122",,"pagada","472","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":10,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-11 19:01:03.751925","Deuda generada por venta 1122"
"299","1124",,"pagada","531","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":20,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-11 19:09:06.251128","Deuda generada por venta 1124"
"300","1129",,"pagada","47","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":2,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-11 20:16:29.342685","Deuda generada por venta 1129"
"301","1132",,"pagada","533","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":2,""id_producto"":8,""precio_unitario"":35}]","0.00","2025-12-12 14:42:43.096809","Deuda generada por venta 1132"
"302","1134",,"pagada","536","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":1,""id_producto"":26,""precio_unitario"":200}]","0.00","2025-12-12 16:13:35.387405","Deuda generada por venta 1134"
"303","1135",,"pagada","537","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":33},{""nombre"":""ventilador de 12 pulgada nuevo"",""cantidad"":1,""id_producto"":22,""precio_unitario"":35}]","0.00","2025-12-12 16:21:51.805247","Deuda generada por venta 1135"
"304","1136",,"pagada","39","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":2,""id_producto"":8,""precio_unitario"":35}]","0.00","2025-12-12 16:48:52.851507","Deuda generada por venta 1136"
"305","1138",,"pagada","12","[{""nombre"":""Cocinas Bryderk"",""cantidad"":1,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-12-12 17:52:39.961417","Deuda generada por venta 1138"
"306","1141",,"pagada","519","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":16,""id_producto"":31,""precio_unitario"":34}]","0.00","2025-12-12 19:21:20.995273","Deuda generada por venta 1141"
"307","1142",,"pagada","540","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":1,""id_producto"":26,""precio_unitario"":200}]","0.00","2025-12-12 19:25:25.45902","Deuda generada por venta 1142"
